id,Name,birthday,Country of origin,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Abhinav Mukund,1990/1/6,India,CSK,CSK,CSK,CSK,CSK,RCB,X,X,X,X,X,X
2,Albie Morkel,1981/6/10,South Africa,CSK,CSK,CSK,CSK,CSK,CSK,RCB,DD,RPS,X,X,NaN
3,Anirudha Srikkanth,1987/4/14,India,CSK,X,CSK,CSK,CSK,CSK,SRH,X,X,X,NaN,NaN
4,Chamara Kapugedera,1987/2/24,Sri Lanka,CSK,X,X,X,X,X,X,X,X,X,NaN,NaN
5,Jacob Oram,1978/7/28,New Zealand,CSK,CSK,CSK,RR,RR,MI,X,X,X,X,NaN,NaN
6,Joginder Sharma,1983/10/23,India,CSK,CSK,CSK,CSK,CSK,X,X,X,X,X,NaN,NaN
7,KB Arun Karthik,1986/2/15,India,CSK,CSK,CSK,RCB,RCB,RCB,X,X,X,X,NaN,NaN
8,Lakshmipathy Balaji,1981/9/27,India,CSK,CSK,CSK,KKR,KKR,KKR,KXIP,X,X,X,NaN,NaN
9,Mahendra Singh Dhoni,1981/7/7,India,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,RPS,RPS,CSK,CSK
10,Makhaya Ntini,1977/7/6,South Africa,CSK,CSK,CSK,X,X,X,X,X,X,X,NaN,NaN
11,Manpreet Gony,1984/1/4,India,CSK,CSK,CSK,DC,DC,KXIP,X,X,X,GL,NaN,NaN
12,Matthew Hayden,1971/10/29,Australia,CSK,CSK,CSK,X,X,X,X,X,X,X,NaN,NaN
13,Mike Hussey,1975/5/27,Australia,CSK,CSK,CSK,CSK,CSK,CSK,MI,CSK,X,X,NaN,NaN
14,Muttiah Muralitharan,1972/4/17,Sri Lanka,CSK,CSK,CSK,KTK,RCB,RCB,RCB,X,X,X,NaN,NaN
15,Napoleon Einstein,1989/8/16,India,CSK,CSK,X,X,X,X,X,X,X,X,NaN,NaN
16,Palani Amarnath,NaN,India,CSK,CSK,X,X,X,X,X,X,X,X,NaN,NaN
17,Parthiv Patel,NaN,India,CSK,CSK,CSK,KTK,DC,SRH,RCB,MI,MI,MI,RCB,RCB
18,Ravichandran Ashwin,1986/9/17,India,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,RPS,RPS,KXIP,KXIP
19,Selvam Suresh Kumar,NaN,India,CSK,CSK,X,X,X,X,X,X,X,X,NaN,NaN
20,Shadab Jakati,1980/11/27,India,CSK,CSK,CSK,CSK,CSK,CSK,RCB,X,GL,GL,NaN,NaN
21,Stephen Fleming,1973/4/1,New Zealand,CSK,X,X,X,X,X,X,X,X,X,NaN,NaN
22,Subramaniam Badrinath,1980/8/30,India,CSK,CSK,CSK,CSK,CSK,CSK,X,RCB,X,X,NaN,NaN
23,Sudeep Tyagi,1989/9/17,India,CSK,CSK,CSK,CSK,CSK,SRH,X,X,X,X,NaN,NaN
24,Suresh Raina,1986/11/27,India,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,GL,GL,CSK,CSK
25,Vidyut Sivaramakrishnan,NaN,India,CSK,CSK,CSK,X,X,X,X,X,X,X,NaN,NaN
26,Viraj Kadbe,NaN,India,CSK,CSK,X,X,X,X,X,X,X,X,NaN,NaN
27,Adam Gilchrist,1971/11/14,Australia,DC,DC,DC,KXIP,KXIP,KXIP,X,X,X,X,NaN,NaN
28,Andrew Symonds,1975/6/9,Australia,DC,DC,DC,MI,X,X,X,X,X,X,NaN,NaN
29,Arjun Yadav,1981/12/23,India,DC,DC,DC,DC,DC,X,X,X,X,X,NaN,NaN
30,Chamara Silva,1979/12/14,Sri Lanka,DC,DC,X,X,X,X,X,X,X,X,NaN,NaN
31,Chaminda Vaas,1974/1/27,Sri Lanka,DC,DC,DC,X,X,X,X,X,X,X,NaN,NaN
32,Doddapaneni Kalyankrishna,1983/12/16,India,DC,DC,X,X,X,X,X,X,X,X,NaN,NaN
33,Dwaraka Ravi Teja,1988/9/5,India,DC,DC,DC,DC,DC,SRH,X,X,X,X,NaN,NaN
34,Halhadar Das,1986/12/10,India,DC,DC,X,X,X,X,X,X,X,X,NaN,NaN
35,Herschelle Gibbs,1974/2/23,South Africa,DC,DC,DC,X,MI,X,X,X,X,X,NaN,NaN
36,Mohnish Mishra,1984/2/9,India,DC,X,DC,PWI,PWI,PWI,X,X,X,X,NaN,NaN
37,Nuwan Zoysa,1978/5/13,Sri Lanka,DC,DC,X,X,X,X,X,X,X,X,NaN,NaN
38,Paidikalva Vijaykumar,1986/10/20,India,DC,DC,X,X,X,X,X,X,X,X,NaN,NaN
39,PM Sarvesh Kumar,1989/4/26,India,DC,DC,X,X,X,X,X,X,X,X,NaN,NaN
40,Pragyan Ojha,1986/9/5,India,DC,DC,DC,DC,MI,MI,MI,MI,X,X,NaN,NaN
41,R. P. Singh,1985/12/6,India,DC,DC,DC,KTK,MI,RCB,X,X,RPS,X,NaN,NaN
42,Rohit Sharma,1987/4/30,India,DC,DC,DC,MI,MI,MI,MI,MI,MI,MI,MI,MI
43,Sanjay Bangar,1972/10/11,India,DC,KKR,KKR,X,X,X,X,X,X,X,NaN,NaN
44,Shahid Afridi,NaN,Pakistan,DC,X,X,X,X,X,X,X,X,X,NaN,NaN
45,Scott Styris,1975/7/10,New Zealand,DC,DC,DC,CSK,CSK,X,X,X,X,X,NaN,NaN
46,V.V.S. Laxman,1974/11/1,India,DC,DC,DC,KTK,X,X,X,X,X,X,NaN,NaN
47,Yalaka Venugopal Rao,1982/2/26,India,DC,DC,DC,DD,DD,DD,SRH,X,X,X,NaN,NaN
48,AB de Villiers,1984/2/17,South Africa,DD,DD,DD,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB
49,Amit Mishra,1982/11/24,India,DD,DD,DD,DC,DC,SRH,SRH,DD,DD,DD,DD,NaN
50,Brett Geeves,1982/6/13,Australia,DD,X,X,X,X,X,X,X,X,X,NaN,NaN
51,Daniel Vettori,1979/1/27,New Zealand,DD,DD,DD,RCB,RCB,RCB,X,X,X,X,NaN,NaN
52,Dinesh Karthik,1985/6/1,India,DD,DD,DD,KXIP,MI,MI,DD,RCB,GL,GL,KKR,KKR
53,Farveez Maharoof,1984/9/7,Sri Lanka,DD,DD,DD,X,X,X,X,X,X,X,NaN,NaN
54,Gautam Gambhir,1981/10/14,India,DD,DD,DD,KKR,KKR,KKR,KKR,KKR,KKR,KKR,DD,NaN
55,Glenn McGrath,1970/2/9,Australia,DD,DD,X,X,X,X,X,X,X,X,NaN,NaN
56,Manoj Tiwary,1985/11/14,India,DD,DD,KKR,KKR,KKR,KKR,DD,DD,X,RPS,KXIP,NaN
57,Mayank Tehlan,1986/10/11,India,DD,X,X,X,X,X,X,X,X,X,NaN,NaN
58,Mithun Manhas,NaN,India,DD,DD,DD,PWI,PWI,PWI,CSK,CSK,X,X,NaN,NaN
59,Mohammad Asif,1982/12/20,Pakistan,DD,X,X,X,X,X,X,X,X,X,NaN,NaN
60,Pradeep Sangwan,1990/11/5,India,DD,DD,DD,KKR,KKR,KKR,X,X,GL,GL,NaN,NaN
61,Rajat Bhatia,1979/10/22,India,DD,DD,DD,KKR,KKR,KKR,RR,RR,RPS,RPS,NaN,NaN
62,Shikhar Dhawan,1985/12/5,India,DD,MI,MI,DC,DC,SRH,SRH,SRH,SRH,SRH,SRH,NaN
63,Shoaib Malik,1982/2/1,Pakistan,DD,X,X,X,X,X,X,X,X,X,NaN,NaN
64,Sumit Narwal,NaN,India,DD,DD,DD,RR,RR,KKR,X,KKR,X,X,NaN,NaN
65,Tejashwi Yadav,1989/11/9,India,DD,DD,X,DD,DD,X,X,X,X,X,NaN,NaN
66,Tillakaratne Dilshan,1976/10/14,Sri Lanka,DD,DD,DD,RCB,RCB,RCB,X,X,X,X,NaN,NaN
67,Virender Sehwag,1978/10/20,India,DD,DD,DD,DD,DD,DD,KXIP,KXIP,X,X,NaN,NaN
68,Yogesh Nagar,NaN,India,DD,DD,DD,DD,DD,DD,X,X,X,X,NaN,NaN
69,Yo Mahesh,1987/12/21,India,DD,DD,DD,CSK,CSK,X,X,X,X,X,NaN,NaN
70,Aakash Chopra,1977/9/19,India,KKR,KKR,X,RR,RR,X,X,X,X,X,NaN,NaN
71,Ajantha Mendis,1985/3/11,Sri Lanka,KKR,KKR,KKR,X,X,PWI,X,X,X,X,NaN,NaN
72,Ajit Agarkar,1977/12/4,India,KKR,KKR,KKR,DD,DD,DD,X,X,X,X,NaN,NaN
73,Ashok Dinda,1984/3/25,India,KKR,KKR,KKR,DD,PWI,PWI,RCB,RCB,RPS,RPS,NaN,NaN
74,Brad Hodge,1974/12/29,Australia,KKR,KKR,KKR,KTK,RR,RR,RR,X,X,X,NaN,NaN
75,Brendon McCullum,1981/9/27,New Zealand,KKR,KKR,KKR,KTK,KKR,KKR,CSK,CSK,GL,GL,RCB,NaN
76,Cheteshwar Pujara,1988/1/25,India,KKR,KKR,KKR,RCB,RCB,RCB,KXIP,X,X,X,NaN,NaN
77,Chris Gayle,1979/9/21,Jamaica,KKR,KKR,KKR,RCB,RCB,RCB,RCB,RCB,RCB,RCB,KXIP,KXIP
78,David Hussey,1977/7/15,Australia,KKR,KKR,KKR,KXIP,KXIP,KXIP,CSK,X,X,X,NaN,NaN
79,Debabrata Das,1986/9/22,India,KKR,X,X,X,KKR,KKR,KKR,X,X,X,NaN,NaN
80,Iqbal Abdulla,1989/12/2,India,KKR,KKR,KKR,KKR,KKR,KKR,RR,RCB,RCB,RCB,NaN,NaN
81,Ishant Sharma,1988/9/2,India,KKR,KKR,KKR,DC,DC,SRH,SRH,SRH,RPS,KXIP,NaN,NaN
82,Laxmi Ratan Shukla,1981/5/6,India,KKR,KKR,KKR,KKR,KKR,KKR,DD,SRH,X,X,NaN,NaN
83,Mashrafe Mortaza,1983/10/5,Bangladesh,KKR,KKR,KKR,PWI,PWI,KKR,KXIP,X,X,X,NaN,NaN
84,Mohammad Hafeez,1980/10/17,Pakistan,KKR,X,X,X,X,X,X,X,X,X,NaN,NaN
85,Murali Kartik,1976/9/11,India,KKR,KKR,KKR,PWI,PWI,RCB,KXIP,X,X,X,NaN,NaN
86,Ranadeb Bose,NaN,India,KKR,KXIP,X,X,X,X,X,X,X,X,NaN,NaN
87,Ricky Ponting,1974/12/19,Australia,KKR,KKR,X,X,X,MI,X,X,X,X,NaN,NaN
88,Rohan Banerjee,1988/12/10,India,KKR,KKR,X,X,X,X,X,X,X,X,NaN,NaN
89,Salman Butt,1984/10/7,Pakistan,KKR,X,X,X,X,X,X,X,X,X,NaN,NaN
90,Saurasish Lahiri,1981/9/9,India,KKR,X,X,X,X,X,X,X,X,X,NaN,NaN
91,Shoaib Akhtar,1975/8/13,Pakistan,KKR,X,X,X,X,X,X,X,X,X,NaN,NaN
92,Siddarth Kaul,1990/5/19,India,KKR,KKR,X,X,X,DD,DD,SRH,SRH,SRH,SRH,SRH
93,Sourav Ganguly,1972/7/8,India,KKR,KKR,KKR,PWI,PWI,X,X,X,X,X,NaN,NaN
94,Tatenda Taibu,1983/5/14,Zimbabwe,KKR,X,X,X,X,X,X,X,X,X,NaN,NaN
95,Ray Price,1976/6/12,Zimbabwe,X,X,X,MI,X,X,X,X,X,X,NaN,NaN
96,Umar Gul,1984/4/14,Pakistan,KKR,X,X,X,X,X,X,X,X,X,NaN,NaN
97,Wriddhiman Saha,1984/10/24,India,KKR,KKR,KKR,CSK,CSK,CSK,KXIP,KXIP,KXIP,KXIP,SRH,SRH
98,Yashpal Singh,NaN,India,KKR,KKR,X,KTK,X,X,X,X,X,X,NaN,NaN
99,Ajitesh Argal,NaN,India,KXIP,KXIP,X,X,X,X,X,X,X,X,NaN,NaN
100,Azhar Mehmood,1975/2/28,England,KXIP,KXIP,KXIP,KXIP,KXIP,KXIP,X,KKR,X,X,NaN,NaN
101,Brett Lee,1976/11/8,Australia,KXIP,KXIP,KXIP,KKR,KKR,KKR,X,X,X,X,NaN,NaN
102,Fidel Edwards,1982/2/6,Barbados,KXIP,DC,DC,PWI,PWI,RR,X,X,X,X,NaN,NaN
103,Gagandeep Singh,NaN,India,KXIP,X,X,X,X,X,X,X,X,X,NaN,NaN
104,Irfan Pathan,1984/10/27,India,KXIP,KXIP,KXIP,DD,DD,DD,SRH,CSK,RPS,GL,NaN,NaN
105,James Hopes,1978/10/24,Australia,KXIP,KXIP,KXIP,DD,PWI,X,X,X,X,X,NaN,NaN
106,Karan Goel,NaN,India,KXIP,KXIP,KXIP,X,X,X,X,X,X,X,NaN,NaN
107,Kumar Sangakkara,1977/10/27,Sri Lanka,KXIP,KXIP,KXIP,DC,DC,SRH,X,X,X,X,NaN,NaN
108,Kyle Mills,1979/3/15,New Zealand,KXIP,MI,MI,X,X,X,X,X,X,X,NaN,NaN
109,Luke Pomersbach,1984/9/28,Australia,KXIP,KXIP,KXIP,RCB,RCB,KXIP,X,X,X,X,NaN,NaN
110,Mahela Jayawardene,1977/5/27,Sri Lanka,KXIP,KXIP,KXIP,KTK,DD,DD,X,X,X,X,NaN,NaN
111,Nitin Saini,1988/10/28,India,KXIP,X,X,KXIP,KXIP,KXIP,X,X,X,X,NaN,NaN
112,Pankaj Dharmani,1974/9/27,India,KXIP,X,X,X,X,X,X,X,X,X,NaN,NaN
113,Piyush Chawla,1988/12/24,India,KXIP,KXIP,KXIP,KXIP,KXIP,KXIP,KKR,KKR,KKR,KKR,KKR,KKR
114,Ramesh Powar,1978/5/20,India,KXIP,KXIP,KXIP,KTK,KXIP,KXIP,X,X,X,X,NaN,NaN
115,Ramnaresh Sarwan,1980/6/23,Guyana,KXIP,X,X,X,X,X,X,X,X,X,NaN,NaN
116,Rishi Dhawan,1990/2/19,India,KXIP,X,X,X,X,MI,KXIP,KXIP,KXIP,KKR,NaN,NaN
117,Sahil Kukreja,1985/7/9,India,KXIP,KXIP,X,X,X,X,X,X,X,X,NaN,NaN
118,Shaun Marsh,1983/7/9,Australia,KXIP,KXIP,KXIP,KXIP,KXIP,KXIP,KXIP,KXIP,KXIP,KXIP,NaN,NaN
119,Simon Katich,1975/8/21,Australia,KXIP,KXIP,KXIP,X,X,X,X,X,X,X,NaN,NaN
120,Sreesanth,1983/2/6,India,KXIP,KXIP,KXIP,KTK,RR,RR,X,X,X,X,NaN,NaN
121,Sunny Sohal,1987/11/10,India,KXIP,KXIP,X,DC,DC,RCB,X,X,X,X,NaN,NaN
122,Tanmay Srivastava,1989/11/7,India,KXIP,KXIP,KXIP,KTK,DC,X,X,X,X,X,NaN,NaN
123,Uday Kaul,1987/12/2,India,KXIP,KXIP,X,X,X,X,X,X,X,X,NaN,NaN
124,V. R. V. Singh,1984/9/17,India,KXIP,KXIP,KXIP,X,X,X,X,X,X,X,NaN,NaN
125,Wilkin Mota,1981/9/20,India,KXIP,KXIP,X,X,X,X,X,X,X,X,NaN,NaN
126,Yuvraj Singh,1981/12/12,India,KXIP,KXIP,KXIP,PWI,PWI,PWI,RCB,DD,SRH,SRH,KXIP,MI
127,Abhishek Nayar,1983/10/8,India,MI,MI,MI,KXIP,KXIP,PWI,RR,X,X,X,NaN,NaN
128,Ajinkya Rahane,1988/6/6,India,MI,MI,MI,RR,RR,RR,RR,RR,RPS,RPS,RR,RR
129,Andr¨¦ Nel,1977/7/15,South Africa,MI,X,X,X,X,X,X,X,X,X,NaN,NaN
130,Ankeet Chavan,1985/10/28,India,MI,X,X,RR,RR,RR,X,X,X,X,NaN,NaN
131,Ashwell Prince,1977/5/28,South Africa,MI,X,X,X,X,X,X,X,X,X,NaN,NaN
132,Ashish Nehra,1979/4/29,India,MI,DD,DD,PWI,PWI,DD,CSK,CSK,SRH,SRH,NaN,NaN
133,Dhawal Kulkarni,1988/12/10,India,MI,MI,MI,MI,MI,MI,RR,RR,GL,GL,RR,RR
134,Dilhara Fernando,1979/7/19,Sri Lanka,MI,MI,MI,MI,X,X,X,X,X,X,NaN,NaN
135,Dominic Thornley,1978/10/1,Australia,MI,X,X,X,X,X,X,X,X,X,NaN,NaN
136,Dwayne Bravo,1983/10/7,Trinidad and Tobago,MI,MI,MI,CSK,CSK,CSK,CSK,CSK,GL,GL,CSK,CSK
137,Dwayne Smith,1983/4/12,Barbados,MI,DC,DC,X,MI,MI,CSK,CSK,GL,GL,NaN,NaN
138,Gaurav Dhiman,1986/12/16,India,MI,RCB,X,X,X,X,X,X,X,X,NaN,NaN
139,Harbhajan Singh,1980/7/3,India,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,CSK,CSK
140,Lasith Malinga,1983/8/28,Sri Lanka,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,X,MI
141,Loots Bosman,1977/4/14,South Africa,MI,X,X,X,X,X,X,X,X,X,NaN,NaN
142,Luke Ronchi,1981/4/23,New Zealand,MI,MI,X,X,X,X,X,X,X,X,NaN,NaN
143,Manish Pandey,1989/9/10,India,MI,RCB,RCB,PWI,PWI,PWI,KKR,KKR,KKR,KKR,SRH,SRH
144,Mohammad Ashraful,1984/7/7,Bangladesh,MI,MI,X,X,X,X,X,X,X,X,NaN,NaN
145,Musavir Khote,NaN,India,MI,X,X,X,X,X,X,X,X,X,NaN,NaN
146,Pinal Shah,NaN,India,MI,MI,MI,RR,RR,X,X,X,X,X,NaN,NaN
147,Rajesh Pawar,NaN,India,MI,X,X,DC,X,X,X,X,X,X,NaN,NaN
148,Robin Uthappa,1985/11/11,India,MI,RCB,RCB,PWI,PWI,PWI,KKR,KKR,KKR,KKR,KKR,KKR
149,Rohan Raje,1986/9/3,India,MI,MI,X,X,X,X,X,X,X,X,NaN,NaN
150,Sachin Tendulkar,1973/4/24,India,MI,MI,MI,MI,MI,MI,X,X,X,X,NaN,NaN
151,Sanath Jayasuriya,1969/6/30,Sri Lanka,MI,MI,MI,X,X,X,X,X,X,X,NaN,NaN
152,Saurabh Tiwary,1989/12/30,India,MI,MI,MI,RCB,RCB,RCB,DD,DD,RPS,MI,NaN,NaN
153,Shaun Pollock,1973/7/16,South Africa,MI,X,X,X,X,X,X,X,X,X,NaN,NaN
154,Siddharth Chitnis,NaN,India,MI,RR,X,KXIP,KXIP,KXIP,X,X,X,X,NaN,NaN
155,Swapnil Singh,1991/1/22,India,MI,X,X,X,X,X,X,X,KXIP,KXIP,NaN,NaN
156,Vikrant Yeligati,NaN,India,MI,X,X,X,X,X,X,X,X,X,NaN,NaN
157,Yogesh Takawale,1984/11/5,India,MI,MI,X,X,MI,X,RCB,RCB,X,X,NaN,NaN
158,Abdur Razzak,1982/6/15,Bangladesh,RCB,X,X,X,X,X,X,X,X,X,NaN,NaN
159,Anil Kumble,1970/10/17,India,RCB,RCB,RCB,X,X,X,X,X,X,X,NaN,NaN
160,Ashley Noffke,1977/4/30,Australia,RCB,X,X,X,X,X,X,X,X,X,NaN,NaN
161,Balachandra Akhil,1977/10/7,India,RCB,RCB,RCB,KTK,X,X,X,X,X,X,NaN,NaN
162,Bharat Chipli,1983/1/27,India,RCB,RCB,X,DC,DC,DD,X,X,X,X,NaN,NaN
163,Cameron White,1983/8/18,Australia,RCB,RCB,RCB,DC,DC,SRH,X,X,X,X,NaN,NaN
164,Dale Steyn,1983/6/27,South Africa,RCB,RCB,RCB,DC,DC,SRH,SRH,SRH,GL,X,NaN,NaN
165,Devraj Patil,1984/12/6,India,RCB,RCB,X,X,X,X,X,X,X,X,NaN,NaN
166,Jacques Kallis,1975/10/16,South Africa,RCB,RCB,RCB,KKR,KKR,KKR,KKR,X,X,X,NaN,NaN
167,Jagadeesh Arunkumar,1975/1/18,India,RCB,RCB,X,X,X,X,X,X,X,X,NaN,NaN
168,KP Appanna,1988/12/20,India,RCB,RCB,RCB,X,RCB,RCB,X,X,X,X,NaN,NaN
169,Mark Boucher,1976/12/3,South Africa,RCB,RCB,RCB,KKR,X,X,X,X,X,X,NaN,NaN
170,Misbah-ul-Haq,1974/5/28,Pakistan,RCB,X,X,X,X,X,X,X,X,X,NaN,NaN
171,Nathan Bracken,1977/9/12,Australia,RCB,RCB,X,X,X,X,X,X,X,X,NaN,NaN
172,Neravanda Aiyappa,NaN,India,RCB,X,X,X,X,X,X,X,X,X,NaN,NaN
173,Praveen Kumar,1986/10/2,india,RCB,RCB,RCB,KXIP,KXIP,KXIP,MI,SRH,GL,GL,NaN,NaN
174,Rahul Dravid,1973/1/11,India,RCB,RCB,RCB,RR,RR,RR,X,X,X,X,NaN,NaN
175,Ross Taylor,1984/3/8,New Zealand,RCB,RCB,RCB,RR,DD,PWI,DD,X,X,X,NaN,NaN
176,Shivnarine Chanderpaul,1974/8/16,Guyana,RCB,X,X,X,X,X,X,X,X,X,NaN,NaN
177,Shreevats Goswami,1989/5/18,India,RCB,RCB,RCB,KKR,RR,RR,X,X,X,X,SRH,SRH
178,Sunil Joshi,1970/6/6,India,RCB,RCB,X,X,X,X,X,X,X,X,NaN,NaN
179,Vinay Kumar,1984/2/12,India,RCB,RCB,RCB,KTK,RCB,RCB,KKR,MI,MI,MI,KKR,NaN
180,Virat Kohli,1988/11/5,India,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB
181,Wasim Jaffer,1978/2/16,India,RCB,RCB,X,X,X,X,X,X,X,X,NaN,NaN
182,Zaheer Khan,1978/10/7,India,RCB,MI,MI,RCB,RCB,RCB,MI,DD,DD,DD,NaN,NaN
183,Abhishek Raut,1987/3/3,India,RR,RR,RR,RR,RR,RR,X,X,X,X,NaN,NaN
184,Aditya Angle,NaN,India,RR,RR,X,X,X,X,X,X,X,X,NaN,NaN
185,Anup Revandkar,NaN,India,RR,RR,X,X,X,X,X,X,X,X,NaN,NaN
186,Darren Lehmann,1970/2/5,Australia,RR,X,X,X,X,X,X,X,X,X,NaN,NaN
187,Dimitri Mascarenhas,1977/10/30,England,RR,RR,RR,KXIP,KXIP,KXIP,X,X,X,X,NaN,NaN
188,Dinesh Salunkhe,NaN,India,RR,RR,X,RR,X,X,X,RR,X,X,NaN,NaN
189,Faiz Fazal,1985/9/7,India,RR,RR,RR,RR,RR,X,X,X,X,X,NaN,NaN
190,Graeme Smith,1981/2/1,South Africa,RR,RR,RR,PWI,PWI,X,X,X,X,X,NaN,NaN
191,Jaydev Shah,1983/5/4,India,RR,MI,X,DC,MI,X,X,X,GL,GL,NaN,NaN
192,Justin Langer,1970/11/21,Australia,RR,RR,X,X,X,X,X,X,X,X,NaN,NaN
193,Kamran Akmal,1982/1/13,Pakistan,RR,X,X,X,X,X,X,X,X,X,NaN,NaN
194,Mahesh Rawat,1985/10/25,India,RR,RR,X,X,X,PWI,X,X,X,X,NaN,NaN
195,Mohammad Kaif,1980/12/1,India,RR,RR,KXIP,RCB,RCB,X,X,X,X,X,NaN,NaN
196,Morne Morkel,1984/10/6,South Africa,RR,RR,RR,DD,DD,DD,KKR,KKR,KKR,X,NaN,NaN
197,Munaf Patel,1983/7/12,India,RR,RR,RR,MI,MI,MI,X,X,X,GL,NaN,NaN
198,Niraj Patel,NaN,India,RR,RR,X,X,X,X,X,X,X,X,NaN,NaN
199,Pankaj Singh,1985/5/6,India,RR,RCB,RCB,RR,RR,RCB,X,X,X,X,NaN,NaN
200,Parag More,NaN,India,RR,RR,X,X,X,X,X,X,X,X,NaN,NaN
201,Ravindra Jadeja,1988/12/6,India,RR,RR,X,KTK,CSK,CSK,CSK,CSK,GL,GL,CSK,CSK
202,Shane Warne,1969/9/13,Australia,RR,RR,RR,RR,X,X,X,X,X,X,NaN,NaN
203,Shane Watson,1981/6/17,Australia,RR,RR,RR,RR,RR,RR,RR,RR,RCB,RCB,CSK,CSK
204,Siddharth Trivedi,1982/9/4,India,RR,RR,RR,RR,RR,RR,X,X,X,X,NaN,NaN
205,Sohail Tanvir,1984/12/12,Pakistan,RR,X,X,X,X,X,X,X,X,X,NaN,NaN
206,Sumit Khatri,1989/7/15,India,RR,X,X,X,X,X,X,X,X,X,NaN,NaN
207,Swapnil Asnodkar,1984/3/29,India,RR,RR,RR,RR,X,X,X,X,X,X,NaN,NaN
208,Taruwar Kohli,1988/12/17,India,RR,X,X,X,X,X,X,X,X,X,NaN,NaN
209,Younis Khan,NaN,Pakistan,RR,X,X,X,X,X,X,X,X,X,NaN,NaN
210,Yusuf Pathan,1982/11/17,India,RR,RR,RR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,SRH,SRH
211,Andrew Flintoff,1977/12/6,England,X,CSK,X,X,X,X,X,X,X,X,NaN,NaN
212,George Bailey,1982/9/7,Australia,X,CSK,CSK,CSK,CSK,X,KXIP,KXIP,RPS,X,NaN,NaN
213,Murali Vijay,1984/4/1,India,X,CSK,CSK,CSK,CSK,CSK,DD,KXIP,KXIP,KXIP,CSK,CSK
